id,warehouse_id,warehouse_dev_id,common_name_significant,common_name,taxon,type,description,soil,germination_period,flowering_period,seed_longevity,management,conservation_status,profile_pic,profile_pic_width,profile_pic_height,profile_pic_author,thumbnail,illustration,illustration_width,illustration_height,map,confusion,color[],color[],color[],color[],color[],color[],color[],color[],color[]
1,370993,878679,,Pheasant's-eye, Adonis annua	,F,"Plants grow up to 50cm. Annual with deep red, anemone-like flower with central black spot and black anthers. Bright green, finely divided leaves. Elongated oval seed head bears approximately 30 olive-green seeds, similar in shape to a grape pip. This plant does not seem to be able to survive in areas with high application of nitrogen fertiliser, or compete against nitrophilous crops that quickly out-compete and shade out its seedlings.",Calcareous silty and clay loams.,Autumn (limited spring germination),June to July,Long-lived,Uncropped cultivated areas,Endangered (applies to natural populations from the soil seed bank)   ,images/pics/Adonis_annua_2_CG.jpg,1024,741,Chris Gibson,images/thumbnails/Adonis_annua_2_CG.jpg,images/illustrations/Adonis_annua.png,377,536,images/maps/Adonis_annua.svg,,,,,r,,,,,
2,370995,878680,,Corncockle, Agrostemma githago,F,"Hairy, erect plant, up to 100cm tall. Long, narrow and undivided leaves, which taper to a point. Flowers are large (2-5cm across) and trumpet-shaped, bright pink with dark streaks and occur singly on long stems. There are very few natural populations originating from the soil seed bank and corncockle is often included in annual seed mixtures. The seeds are short-lived, rot very quickly in damp weather, and may not survive the first winter after being shed from the plant. This species was originally spread as a contaminant in crop seeds, and improved seed cleaning has resulted in a strong decline, with remaining populations being critically endangered.",Sandy loams.,Autumn,June to August,Very short-lived (less than one year) unless deeply-buried where it may survive dormant for longer,Conservation headlands<br/>  Whole crop management,Critically Endangered (applies to natural populations from the soil seed bank)   ,images/pics/Agrostemma_githago_2_CG.jpg,1024,768,Chris Gibson,images/thumbnails/Agrostemma_githago_2_CG.jpg,images/illustrations/Agrostemma_githago.png,438,705,images/maps/Agrostemma_githago.svg,,,,,,p,,,,
3,370997,878681,,Ground-pine, Ajuga chamaepitys,F,"Small plant, not exceeding 5-20cm height. Often sprawling and shaped like a tiny pine tree, with a reddish stem, long, narrow, hairy green leaves (often tinged yellow through to red) and little yellow flowers nestling close to the stem. Flowers and bruised leaves smell of pine-resin. Individuals often appear after deep ground disturbance along hedges, but do not grow  in very shaded or crowded swards.",Thin chalk soils.,Autumn and spring,May to October,Long-lived,Uncropped cultivated areas,Endangered  ,images/pics/Ajuga_chamaepitys_CS.jpg,1024,768,Chris Gibson,images/thumbnails/Ajuga_chamaepitys_CS.jpg,images/illustrations/Ajuga_chamaepitys.png,406,834,images/maps/Ajuga_chamaepitys.svg,,,,,,,y,,,
4,370999,878682,,Rough Marsh-mallow or Hairy Mallow, Malva setigera,F,"Up to 60cm tall, growing as annual or biennial. Plant bristly, and bristles with swollen bases. Lower leaves with long stalks, kidney-shaped, bluntly five-lobed. Leaves further up the stem are deeply cut and have only short stalks. Characteristic mallow flowers 2.c in diameter are pale pink, with scarcely notched petals. Outer sepal ring forming a lobed cup. Rough marsh-mallow is often found adjacent to field boundaries and can be a sprawling plant climbing up through open vegetation. Plants on thinner soils tend to be smaller and short-lived, whilst those on deeper soils are more vigorous.",Dry calcareous soils.,Autumn and spring (flowering the following year),May to August,Long-lived,Uncropped cultivated areas,Near Threatened   ,images/pics/Althaea_hirsuta_CS.jpg,1024,1024,Cath Shellswell,images/thumbnails/Althaea_hirsuta_CS.jpg,,,,images/maps/Althaea_hirsuta.svg,,,,,,p,,,,
5,371001,878683,Alison,Small , Alyssum alyssoides,F,"Erect plant, up to 30cm tall, and branched from the base. Leaves are spear-shaped, narrower at the base and covered with minute star-shaped hairs. The flowers are borne in a terminal spike and are small with four yellow petals, which fade to white as they dry.",Sandy soils.,Autumn,May to June,Short-lived,Uncropped cultivated areas,Near Threatened   ,images/pics/Alyssum_alyssoides_Spain_CG.jpg,1024,768,Chris Gibson,images/thumbnails/Alyssum_alyssoides_Spain_CG.jpg,images/illustrations/Alyssum_alyssoides.png,367,680,images/maps/Alyssum_alyssoides.svg,,,,,,,y,,,
6,371003,878684,Pimpernel,Blue , Anagallis arvensis ssp. foemina,F,"Scrambling mat-forming plant with stems up to 30cm long. The leaves are arranged in opposite pairs, are stalkless  and oval, and up to 20mm long by 9mm wide. The five blue petals are approximately 10mm in diameter, and do not overlap, thereby showing the sepal between the petals. The flower stalks are shorter than the leaves. The petals have short hairs 4 cells (sections) in length.",Calcareous soils.,Spring  ,July - August  ,Long-lived,Uncropped cultivated areas,Nationally Scarce   ,images/pics/Anagallis_arvensis_ssp_foemina_CS.jpg,1024,1024,Cath Shellswell,images/thumbnails/Anagallis_arvensis_ssp_foemina_CS.jpg,,,,images/maps/Anagallis_arvensis_ssp_foemina.svg,Can be confused with blue-flowered variant of Anagallis arvensis ssp. arvensis,b,,,,,,,,
7,371005,878685,Bugloss,Small , Anchusa arvensis,F,"Erect bristly plant, 15-40cm tall. The bristles have bulbous bases. Wavy-edged spear-shaped leaves 15cm long are stalked at the base of the stem, and clasp the stem further up the plant. Light sky-blue flowers are grouped together at the top of the stem, or arise from the top leaf junctions.","Well-drained sandy loams, calcareous chalks, limestone, clays and neutral loams.",Spring and autumn  ,June - September  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Nationally Scarce   ,images/pics/Anchusa_arvensis_3_CG.jpg,1024,1024,Chris Gibson,images/thumbnails/Anchusa_arvensis_3_CG.jpg,images/illustrations/Anchusa_arvensis.png,408,631,images/maps/Anchusa_arvensis.svg,,b,,,,,,,,
8,371007,878686,Chamomile,Corn, Anthemis arvensis ,F,"Branched mayweed, up to 50cm tall. Alternate, deeply divided leaves are slightly flattened. The typical daisy-like flowers have white ray-florets and yellow disc-florets. At the base of the latter, a scale is attached to the flower receptacle. Leaves of corn chamomile smell aromatically of chamomile when crushed. Disc floret scales are 2.5mm long by 1mm wide, broaden to about two-thirds of their length, and taper to a point.",Chalky loams and calcareous sands.,Spring,June - August  ,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Endangered   ,images/pics/Anthemis_arvensis_CS.jpg,1024,1015,Cath Shellswell,images/thumbnails/Anthemis_arvensis_CS.jpg,images/illustrations/Anthemis_arvensis.png,499,634,images/maps/Anthemis_arvensis.svg,Anthemis cotula,,,,,,y,w,,
9,371009,878687,Chamomile,Stinking, Anthemis cotula,F,"Branched mayweed, up to 50cm tall. Alternate, deeply divided leaves are slightly flattened. The typical daisy-like flowers have white ray-florets and yellow disc-florets. At the base of the latter,  a scale is attached to the flower receptacle. Leaves of stinking chamomile smell unpleasant when crushed. The flowers tend to be slightly smaller than those of corn chamomile, whereas receptacular scales are similar-sized, but narrow,  with linear sides tapering to a point.","Calcareous chalks, limestone and clays.",Spring,June - August,Unknown,Uncropped cultivated areas<br/>  Conservation headlands<br/>  Whole crop management<br/>  Wild bird seed mixtures  ,Vulnerable   ,images/pics/Anthemis_cotula_CS.jpg,1024,1016,Cath Shellswell,images/thumbnails/Anthemis_cotula_CS.jpg,,,,images/maps/Anthemis_cotula.svg,Anthemis arvensis,,,,,,y,w,,
10,371011,878688,Vernal-grass,Annual , Anthoxanthum aristatum,G,"Annual plant, up to 20 cm tall. Culms often branched. Leaves blades 2-4 mm wide and up to 5cm long and hairless, but with tufts of long hair where leaf blade and stem meet. Spikelets (5-7mm long) have long and conspicuous bent awns and are gathered into a pale-green terminal flower spike. Annual vernal grass was probably introduced in crop seed, and its decline appears to be due at least partly to improved seed-cleaning.",Sandy loams and gravelly soils.,Unknown,June - October,Unknown,Uncropped cultivated areas,Critically Endangered / Extinct   ,images/pics/Anthoxanthum_aristatum.jpg,1024,1024,Christian Fischer,images/thumbnails/Anthoxanthum_aristatum.jpg,,,,images/maps/Anthoxanthum_aristatum.svg,Anthoxanthum odoratum (but different habitat = grassland),,,,,,,,,gg
